country,size,count
france,10001+,727
france,1-10,140173
france,11-50,88780
france,1001-5000,3009
france,501-1000,2889
french guiana,51-200,15
french guiana,201-500,8
french guiana,11-50,50
french guiana,1-10,82
french guiana,1001-5000,3
french guiana,501-1000,1
french polynesia,201-500,7
french polynesia,1-10,71
french polynesia,51-200,23
french polynesia,11-50,36
french polynesia,1001-5000,3
french polynesia,5001-10000,1
french polynesia,501-1000,3
french southern territories,1-10,9
french southern territories,201-500,1
french southern territories,51-200,1
french southern territories,1001-5000,1
french southern territories,11-50,1
gabon,11-50,93
gabon,1-10,143
gabon,201-500,31
gabon,51-200,50
gabon,1001-5000,6
gabon,501-1000,4
gabon,10001+,1
gambia,5001-10000,1
gambia,1-10,53
gambia,501-1000,2
gambia,11-50,32
gambia,51-200,23
gambia,201-500,7
gambia,1001-5000,3
georgia,201-500,186
georgia,1-10,863
georgia,11-50,933
georgia,51-200,343
georgia,1001-5000,50
georgia,501-1000,55
georgia,10001+,10
georgia,5001-10000,13
germany,201-500,5926
germany,11-50,74665
germany,51-200,21256
germany,501-1000,2472
germany,10001+,594
germany,1-10,118366
germany,1001-5000,2480
germany,5001-10000,447
ghana,10001+,28
ghana,5001-10000,12
ghana,1-10,1868
ghana,501-1000,103
ghana,201-500,226
ghana,11-50,1438
ghana,1001-5000,61
ghana,51-200,538
gibraltar,1-10,270
gibraltar,51-200,57
gibraltar,11-50,212
gibraltar,201-500,18
gibraltar,501-1000,3
gibraltar,1001-5000,2
greece,5001-10000,27
greece,51-200,1880
greece,501-1000,213
greece,201-500,521
greece,11-50,5883
greece,1-10,8899
greece,10001+,34
greece,1001-5000,171
greenland,501-1000,8
greenland,201-500,6
greenland,51-200,16
greenland,1-10,61
greenland,11-50,34
greenland,1001-5000,4
grenada,51-200,14
grenada,201-500,4
grenada,11-50,22
grenada,1-10,41
grenada,1001-5000,1
grenada,501-1000,1
guadeloupe,11-50,224
guadeloupe,201-500,11
guadeloupe,1-10,341
guadeloupe,51-200,84
guadeloupe,1001-5000,7
guadeloupe,501-1000,8
guam,1-10,33
guam,201-500,11
guam,51-200,23
guam,11-50,57
guam,501-1000,4
guam,1001-5000,2
guam,5001-10000,1
guatemala,501-1000,86
guatemala,10001+,20
guatemala,201-500,226
guatemala,5001-10000,16
guatemala,1-10,1606
guatemala,51-200,579
guatemala,11-50,1504
guatemala,1001-5000,83
guernsey,51-200,40
guernsey,1-10,172
guernsey,11-50,105
guernsey,501-1000,4
guernsey,1001-5000,3
guernsey,201-500,10
guernsey,5001-10000,1
guinea,201-500,25
guinea,51-200,38
guinea,1-10,125
guinea,11-50,94
guinea,1001-5000,7
guinea,501-1000,11
guinea,10001+,1
guinea-bissau,11-50,8
guinea-bissau,51-200,2
guinea-bissau,1-10,5
guyana,1-10,44
guyana,11-50,39
guyana,51-200,27
guyana,1001-5000,2
guyana,201-500,14
guyana,501-1000,5
guyana,10001+,1
haiti,11-50,112
haiti,1001-5000,4
haiti,201-500,11
haiti,51-200,47
haiti,1-10,136
haiti,501-1000,6
heard island and mcdonald islands,11-50,1
honduras,5001-10000,8
honduras,1-10,507
honduras,10001+,2
honduras,501-1000,37
honduras,1001-5000,34
honduras,51-200,230
honduras,11-50,503
honduras,201-500,104
hong kong,201-500,751
hong kong,10001+,112
hong kong,51-200,2050
hong kong,501-1000,333
hong kong,5001-10000,103
hong kong,11-50,5746
hong kong,1001-5000,421
hong kong,1-10,6936
hungary,11-50,4071
hungary,5001-10000,26
hungary,201-500,392
hungary,501-1000,154
hungary,51-200,1257
hungary,10001+,29
hungary,1001-5000,143
hungary,1-10,7049
iceland,201-500,62
iceland,1001-5000,20
iceland,11-50,554
iceland,1-10,981
iceland,51-200,216
iceland,5001-10000,4
iceland,501-1000,25
india,5001-10000,876
india,1001-5000,4927
india,11-50,147789
india,10001+,1278
india,201-500,21129
india,51-200,63309
india,1-10,137900
india,501-1000,6321
indonesia,5001-10000,273
indonesia,1001-5000,1124
indonesia,10001+,414
indonesia,1-10,10516
indonesia,11-50,13569
indonesia,201-500,3165
indonesia,501-1000,1405
indonesia,51-200,7054
iran,1001-5000,362
iran,10001+,124
iran,201-500,1025
iran,11-50,6018
iran,5001-10000,48
iran,501-1000,420
iran,1-10,5297
iran,51-200,2337
iraq,11-50,444
iraq,1-10,407
iraq,501-1000,67
